
2024/03/14 (19:55:39) | ===> btop++ v.1.3.2
2024/03/14 (19:55:39) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/15 (12:43:44) | ===> btop++ v.1.3.2
2024/03/15 (12:43:44) | WARNING: Failed to set locale UTF-8 continuing anyway.
2024/03/15 (12:43:52) | ERROR: Stall in Runner thread, restarting!
2024/03/15 (12:44:00) | ERROR: Stall in Runner thread, restarting!
2024/03/15 (12:44:06) | ERROR: Stall in Runner thread, restarting!
2024/03/15 (12:44:13) | ERROR: Stall in Runner thread, restarting!
2024/03/15 (12:44:20) | ERROR: Stall in Runner thread, restarting!
2024/03/15 (12:44:28) | ERROR: Stall in Runner thread, restarting!

2024/03/15 (14:44:45) | ===> btop++ v.1.3.2
2024/03/15 (14:44:45) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/23 (15:18:59) | ===> btop++ v.1.3.2
2024/03/23 (15:18:59) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/23 (17:52:56) | ===> btop++ v.1.3.2
2024/03/23 (17:52:56) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/23 (17:53:06) | ===> btop++ v.1.3.2
2024/03/23 (17:53:06) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/03/25 (23:09:59) | ===> btop++ v.1.3.2
2024/03/25 (23:09:59) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/03 (12:35:02) | ===> btop++ v.1.3.2
2024/04/03 (12:35:02) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/13 (12:36:07) | ===> btop++ v.1.3.2
2024/04/13 (12:36:07) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/24 (18:23:42) | ===> btop++ v.1.3.2
2024/04/24 (18:23:42) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/29 (14:27:06) | ===> btop++ v.1.3.2
2024/04/29 (14:27:06) | WARNING: Failed to set locale UTF-8 continuing anyway.

2024/04/30 (11:29:08) | ===> btop++ v.1.3.2
2024/04/30 (11:29:08) | WARNING: Failed to set locale UTF-8 continuing anyway.
